model,year,transmission,mileage,fuelType,mpg,engineSize,price
M5,2019,Automatic,123,Petrol,13.45,4.4,68930
2 Series,2019,Semi-Auto,4001,Diesel,23.55,2,24180
2 Series,2019,Semi-Auto,4488,Petrol,19.9,1.5,22050
2 Series,2019,Automatic,123,Petrol,19.9,3,28861
3 Series,2019,Automatic,123,Diesel,25.2,2,34790
X5,2019,Automatic,123,Diesel,16.8,3,63320
4 Series,2019,Automatic,123,Diesel,30.05,2,30766
X2,2019,Automatic,123,Petrol,19.35,2,26972
X2,2019,Automatic,123,Petrol,19.35,2,26972
X2,2019,Automatic,123,Petrol,19.35,2,26972
 Fiesta,2015,Manual,24074,Petrol,32.85,1,7770
1 Series,2020,Manual,1510,Petrol,20.75,1.5,24852
 Fiesta,2016,Manual,39916,Diesel,39.25,1.5,7770
 Fiesta,2017,Manual,16105,Petrol,27.15,1.2,7770
 Fiesta,2014,Semi-Auto,28338,Petrol,23.95,1.6,7771
X5,2019,Automatic,8000,Diesel,18.85,3,48440
X1,2019,Manual,123,Petrol,19.9,1.5,27440
X2,2019,Automatic,123,Petrol,19.35,2,26972
X2,2019,Automatic,123,Petrol,19.35,2,26972
X2,2019,Automatic,123,Petrol,19.35,2,26972
X2,2019,Automatic,123,Petrol,19.35,2,26972
X2,2019,Automatic,123,Petrol,19.35,2,26972
X2,2019,Automatic,123,Petrol,19.35,2,26972
X2,2019,Automatic,123,Petrol,19.35,2,26972
X2,2019,Automatic,123,Petrol,19.35,2,26972
 Kuga,2014,Manual,71671,Diesel,26.65,2,7771
 EcoSport,2015,Manual,45750,Petrol,26.65,1,7771
 Octavia,2015,Manual,75000,Diesel,40.35,1.6,7775
2 Series,2019,Manual,123,Petrol,26.15,1.5,22646
2 Series,2019,Manual,123,Petrol,26.15,1.5,22646
X2,2019,Automatic,123,Petrol,19.35,2,26972
X2,2019,Automatic,123,Petrol,19.35,2,26972
X2,2019,Automatic,123,Petrol,19.35,2,26972
X2,2019,Automatic,123,Petrol,19.35,2,26972
X2,2019,Automatic,123,Petrol,19.35,2,26972
X2,2019,Automatic,123,Petrol,19.35,2,26972
X2,2019,Automatic,123,Petrol,19.35,2,26972
X2,2019,Automatic,123,Petrol,19.35,2,26972
 Ka+,2017,Manual,7762,Petrol,28.85,1.2,7775
 Aygo,2017,Manual,24128,Petrol,34.45,1,7775
 Aygo,2017,Manual,17918,Petrol,34.45,1,7775
I20,2017,Manual,29018,Petrol,27.7,1.2,7775
3 Series,2018,Manual,36039,Diesel,29.45,2,18010
IX35,2013,Manual,47232,Diesel,24.35,2,7776
X3,2019,Semi-Auto,17647,Petrol,15.2,2,30200
2 Series,2019,Manual,123,Petrol,26.15,1.5,22646
2 Series,2019,Manual,123,Petrol,26.15,1.5,22646
2 Series,2019,Manual,123,Petrol,26.15,1.5,22646
2 Series,2019,Manual,123,Petrol,26.15,1.5,22646
X1,2019,Automatic,123,Petrol,19.9,1.5,28180
X1,2019,Automatic,123,Petrol,19.9,1.5,28190
X1,2019,Manual,123,Petrol,19.9,1.5,27440
X1,2019,Manual,123,Petrol,19.9,1.5,27440
4 Series,2019,Automatic,123,Petrol,24.35,2,30331
4 Series,2019,Automatic,123,Diesel,25.2,3,35045
4 Series,2019,Automatic,123,Diesel,32.85,2,29631
4 Series,2019,Automatic,123,Petrol,24.35,2,28088
5 Series,2020,Semi-Auto,3168,Hybrid,24.8,2,27090
4 Series,2019,Automatic,8647,Petrol,20.75,3,32810
X2,2019,Automatic,6106,Diesel,30.7,2,25820
X4,2019,Automatic,4000,Diesel,18.6,3,41530
2 Series,2019,Automatic,123,Diesel,32.85,2,23489
X3,2019,Automatic,2489,Diesel,27.15,2,32376
5 Series,2019,Automatic,123,Petrol,23.95,2,30890
4 Series,2019,Automatic,123,Diesel,32.85,2,29361
5 Series,2019,Automatic,123,Petrol,25.2,2,29830
X1,2019,Manual,4480,Petrol,25.7,1.5,23991
1 Series,2019,Manual,5181,Petrol,20.75,1.5,24160
1 Series,2019,Automatic,6000,Petrol,17.25,2,31070
1 Series,2020,Semi-Auto,4362,Diesel,24.35,2,29980
IX35,2014,Manual,59247,Diesel,26.65,1.7,7777
 Fiesta,2015,Manual,7939,Petrol,27.15,1.2,7777
X2,2019,Manual,151,Diesel,26.65,2,25907
 Fiesta,2015,Manual,43008,Petrol,32.85,1,7780
 Yaris,2015,Manual,28023,Petrol,27.5,1.3,7780
2 Series,2019,Semi-Auto,15006,Petrol,23.95,2,21356
2 Series,2019,Automatic,7738,Diesel,24.8,2,21030
3 Series,2019,Manual,123,Diesel,28.25,2,28820
2 Series,2019,Manual,123,Diesel,30.7,2,21858
 Fiesta,2016,Manual,37981,Petrol,32.85,1,7780
 Fiesta,2017,Manual,29328,Petrol,32.85,1,7780
4 Series,2020,Semi-Auto,16,Diesel,30.05,2,32148
A1,2013,Manual,62331,Petrol,26.15,1.4,7783
X2,2019,Automatic,123,Diesel,24.35,2,29770
X2,2019,Automatic,123,Diesel,29.45,2,30571
2 Series,2019,Manual,123,Petrol,26.15,1.5,23322
 Fiesta,2013,Automatic,7000,Petrol,23.95,1.6,7785
1 Series,2019,Manual,3710,Diesel,26.65,2,26720
2 Series,2019,Semi-Auto,3697,Petrol,24.35,2,25260
X3,2019,Automatic,6000,Petrol,12.4,3,56240
4 Series,2019,Semi-Auto,4000,Diesel,32.85,2,24132
2 Series,2019,Manual,123,Petrol,26.15,1.5,23322
 B-MAX,2015,Automatic,16000,Petrol,22.05,1.6,7785
4 Series,2019,Automatic,123,Diesel,32.85,2,29361
4 Series,2019,Automatic,123,Diesel,32.85,2,29361
X2,2019,Semi-Auto,5161,Diesel,30.7,2,25526
5 Series,2019,Automatic,123,Diesel,30.05,3,37220
X2,2019,Automatic,8477,Diesel,24.8,2,22790
3 Series,2019,Automatic,123,Diesel,25.2,2,34370
3 Series,2019,Automatic,123,Diesel,25.2,2,34370
1 Series,2019,Automatic,14147,Diesel,25.7,2,27860
3 Series,2019,Automatic,123,Diesel,23.95,3,35250
2 Series,2019,Automatic,123,Diesel,24.8,2,24269
1 Series,2019,Automatic,123,Diesel,25.7,2,27410
3 Series,2019,Automatic,123,Diesel,23.95,3,37340
2 Series,2019,Manual,123,Petrol,26.15,1.5,22646
2 Series,2019,Manual,123,Petrol,26.15,1.5,22646
2 Series,2019,Manual,123,Petrol,26.15,1.5,22646
2 Series,2019,Manual,123,Petrol,26.15,1.5,22646
2 Series,2019,Manual,123,Petrol,26.15,1.5,22646
2 Series,2019,Manual,123,Petrol,26.15,1.5,22646
2 Series,2019,Manual,123,Petrol,26.15,1.5,22646
2 Series,2019,Manual,123,Petrol,26.15,1.5,22646
2 Series,2019,Automatic,123,Diesel,24.8,2,21773
3 Series,2019,Automatic,123,Petrol,21.1,2,31790
IX20,2015,Automatic,29000,Petrol,21.8,1.6,7785
5 Series,2018,Automatic,10500,Diesel,32.85,2,24862
 Fabia,2017,Manual,20972,Petrol,30.05,1.2,7785
X4,2019,Automatic,123,Petrol,13.45,3,47480
X4,2019,Automatic,123,Petrol,13.45,3,47480
3 Series,2019,Automatic,123,Diesel,27.15,2,29450
2 Series,2019,Automatic,123,Diesel,24.8,2,21773
1 Series,2019,Semi-Auto,16000,Petrol,19.9,3,24142
2 Series,2019,Automatic,123,Diesel,24.8,2,22773
3 Series,2019,Manual,123,Diesel,30.7,2,27900
3 Series,2019,Automatic,9582,Petrol,24.35,2,20966
 C-MAX,2016,Manual,50656,Petrol,22.05,1.6,7787
M4,2018,Manual,8869,Petrol,16.05,3,38776
X3,2019,Semi-Auto,4550,Diesel,27.15,2,32822
 Fabia,2016,Manual,23156,Petrol,30.05,1.2,7789
X1,2019,Automatic,4783,Petrol,23.15,1.5,23516
2 Series,2019,Semi-Auto,49,Diesel,28.85,2,26706
X3,2019,Automatic,4997,Petrol,15.2,2,32226
3 Series,2019,Automatic,5621,Diesel,26.15,2,33990
1 Series,2018,Semi-Auto,26268,Petrol,23.95,2,17595
 Golf,2013,Manual,57028,Petrol,26.65,1.4,7790
2 Series,2019,Manual,123,Diesel,32.85,2,21176
1 Series,2019,Automatic,123,Diesel,33.65,2,21480
X2,2019,Automatic,123,Petrol,19.35,2,26972
X3,2019,Automatic,123,Diesel,27.15,2,38330
 Polo,2014,Manual,27704,Petrol,30.05,1,7790
IX35,2014,Manual,62300,Petrol,20.75,1.6,7790
 Focus,2015,Manual,48503,Diesel,33.65,1.6,7790
 Fiesta,2015,Manual,30947,Petrol,32.85,1,7790
 Fiesta,2015,Manual,35155,Petrol,32.85,1,7790
 Golf,2015,Manual,70783,Diesel,34.45,1.6,7790
 Fabia,2015,Semi-Auto,56700,Petrol,30.05,1.2,7790
 Octavia,2015,Manual,77086,Diesel,37.15,1.6,7790
 Fiesta,2016,Manual,18859,Petrol,27.15,1.2,7790
 Fiesta,2016,Manual,54503,Petrol,32.85,1,7790
2 Series,2019,Automatic,123,Diesel,33.65,2,23462
2 Series,2019,Manual,123,Petrol,26.15,1.5,22646
2 Series,2019,Automatic,123,Petrol,19.9,3,28861
2 Series,2019,Manual,123,Diesel,32.1,2,22292
2 Series,2019,Manual,123,Diesel,32.1,2,22770
3 Series,2019,Automatic,123,Diesel,30.05,2,32060
1 Series,2019,Automatic,123,Petrol,24.35,2,20760
X5,2019,Automatic,123,Diesel,18.85,3,53150
2 Series,2019,Automatic,123,Petrol,25.2,1.5,23159
2 Series,2019,Manual,123,Diesel,32.85,2,21176
5 Series,2019,Automatic,123,Petrol,19.6,3,41550
2 Series,2019,Manual,123,Diesel,32.1,2,22291
2 Series,2019,Manual,123,Diesel,32.1,2,22770
2 Series,2019,Automatic,123,Diesel,33.65,2,23966
2 Series,2019,Automatic,20,Diesel,33.65,2,23976
1 Series,2019,Semi-Auto,5077,Petrol,27.75,1.5,19840
X3,2019,Semi-Auto,4999,Diesel,27.15,2,33313
X5,2019,Semi-Auto,100,Diesel,18.85,3,49403
3 Series,2019,Semi-Auto,3980,Petrol,17.45,3,40602
 Up,2016,Manual,15886,Petrol,32.1,1,7790
 Fabia,2016,Manual,22150,Petrol,30.05,1.2,7790
 Rapid,2016,Semi-Auto,49000,Petrol,29.45,1.4,7790
I30,2016,Manual,45985,Diesel,39.2,1.6,7790
I10,2016,Manual,9862,Petrol,28.8,1.2,7790
 Fiesta,2017,Manual,6424,Petrol,27.15,1.2,7790
 Fiesta,2017,Manual,28510,Petrol,32.85,1,7790
 Ka+,2017,Manual,6646,Petrol,28.85,1.2,7790
 Polo,2017,Manual,51376,Diesel,37.15,1.4,7790
 Up,2017,Manual,6530,Petrol,32.1,1,7790
 Yaris,2017,Manual,34795,Petrol,29,1.3,7790
3 Series,2019,Semi-Auto,6850,Petrol,20.2,2,36531
X2,2019,Semi-Auto,4264,Petrol,19.6,2,27982
A1,2013,Manual,76361,Petrol,26.15,1.4,7791
 Fiesta,2015,Manual,17456,Petrol,27.15,1.2,7791
 Fiesta,2015,Manual,25233,Diesel,39.25,1.5,7791
 Fiesta,2015,Manual,42627,Petrol,31.4,1,7791
X3,2019,Automatic,1926,Diesel,27.15,2,33990
2 Series,2019,Semi-Auto,3736,Diesel,24.35,2,27990
Z4,2019,Automatic,11223,Petrol,18.6,2,31990
 Focus,2015,Manual,32388,Petrol,30.7,1,7791
 Polo,2015,Manual,46602,Petrol,30.05,1.2,7791
4 Series,2019,Semi-Auto,4068,Diesel,32.85,2,26922
A3,2016,Manual,122000,Diesel,37.15,1.6,7791
X5,2019,Semi-Auto,100,Diesel,18.85,3,50832
A3,2016,Manual,122000,Diesel,37.15,1.6,7791
X4,2019,Automatic,9151,Diesel,18.6,3,42982
X1,2019,Semi-Auto,10730,Diesel,25.2,2,26970
 Fiesta,2016,Manual,26985,Petrol,27.15,1.2,7791
 Polo,2016,Manual,39103,Petrol,30.05,1,7791
 Fiesta,2017,Manual,15065,Petrol,27.15,1.2,7791
 Aygo,2017,Manual,17318,Petrol,34.45,1,7791
 Mondeo,2015,Manual,100000,Diesel,34.45,2,7792
2 Series,2018,Semi-Auto,21815,Diesel,34.45,2,15995
 Mondeo,2015,Manual,100000,Diesel,34.45,2,7792
 Mondeo,2016,Manual,105000,Diesel,39.25,1.5,7792
2 Series,2019,Manual,2771,Petrol,22.05,1.5,18480
4 Series,2019,Automatic,5035,Diesel,32.85,2,25320
2 Series,2019,Manual,2631,Diesel,27.7,2,24500
2 Series,2019,Manual,3000,Petrol,25.7,1.5,21850
4 Series,2019,Semi-Auto,5491,Petrol,22.4,2,32991
X2,2019,Automatic,123,Diesel,24.35,2,29770
X2,2019,Automatic,123,Diesel,25.2,2,29374
X2,2019,Automatic,123,Diesel,24.35,2,30361
X2,2019,Automatic,123,Diesel,25.2,2,29375
3 Series,2019,Automatic,123,Petrol,20.75,2,33610
 Passat,2016,Manual,100000,Diesel,38.15,1.6,7792
3 Series,2018,Automatic,30214,Diesel,31.4,2,18300
 Passat,2016,Manual,100000,Diesel,38.15,1.6,7792
 Aygo,2017,Manual,17291,Petrol,34.45,1,7792
 Aygo,2017,Manual,11618,Petrol,34.45,1,7792
A3,2015,Manual,101000,Diesel,37.15,1.6,7793
A3,2015,Manual,108000,Diesel,34.45,2,7793
 Passat,2015,Manual,106000,Diesel,33.65,2,7793
 Passat,2015,Manual,106000,Diesel,33.65,2,7793
 Up,2015,Manual,24409,Petrol,30.7,1,7793
 Focus,2016,Manual,100000,Diesel,35.3,2,7793
 Focus,2016,Manual,106000,Diesel,35.3,2,7793
 Passat,2016,Manual,114000,Diesel,33.65,2,7793
 Mondeo,2017,Manual,114000,Diesel,32.85,2,7793
4 Series,2018,Automatic,11068,Diesel,32.85,2,20397
 Focus,2012,Manual,22789,Petrol,27.7,1,7795
 Fiesta,2013,Manual,30641,Petrol,32.85,1,7795
3 Series,2014,Automatic,147110,Diesel,31.4,2,7795
 B-MAX,2014,Semi-Auto,21050,Petrol,22.05,1.6,7795
 Focus,2014,Manual,55202,Diesel,28.25,2,7795
3 Series,2019,Semi-Auto,4039,Petrol,21.1,2,26832
3 Series,2019,Semi-Auto,6336,Diesel,26.15,2,27372
 Golf,2014,Semi-Auto,78555,Petrol,28.25,1.4,7795
 Focus,2015,Semi-Auto,30000,Petrol,22.4,1.6,7795
 Passat,2015,Manual,134540,Diesel,33.65,2,7795
 Polo,2015,Manual,40500,Petrol,30.05,1.2,7795
 Beetle,2015,Manual,55239,Petrol,23.95,1.2,7795
 Octavia,2015,Manual,63267,Petrol,27.7,1.4,7795
1 Series,2018,Manual,12063,Diesel,25.2,2,14390
 Octavia,2015,Manual,81540,Diesel,34.45,2,7795
 Fiesta,2016,Manual,46891,Petrol,32.85,1,7795
3 Series,2018,Semi-Auto,9684,Petrol,24.35,2,21980
 Mondeo,2016,Manual,92070,Diesel,33.65,2,7795
 Yaris,2016,Manual,29000,Petrol,29,1.3,7795
 Rapid,2016,Manual,45895,Petrol,28.85,1.2,7795
 Octavia,2016,Manual,86220,Diesel,36.2,1.6,7795
 Octavia,2016,Manual,84120,Diesel,35.3,2,7795
 Octavia,2016,Manual,89230,Diesel,37.15,1.6,7795
3 Series,2018,Semi-Auto,31278,Diesel,32.1,2,18995
 Octavia,2016,Manual,82980,Diesel,37.15,1.6,7795
IX20,2016,Manual,55979,Petrol,25.2,1.4,7795
 Ka+,2017,Manual,6624,Petrol,28.85,1.2,7795
 Aygo,2017,Manual,15896,Petrol,34.45,1,7795
 Aygo,2017,Manual,7718,Petrol,34.45,1,7795
 Aygo,2017,Manual,13991,Petrol,34.5,1,7795
 Aygo,2017,Manual,15788,Petrol,34.45,1,7795
3 Series,2018,Automatic,23830,Diesel,30.05,2,19495
 Aygo,2017,Manual,36905,Petrol,34.45,1,7795
 Aygo,2017,Manual,12673,Petrol,34.45,1,7795
 Aygo,2017,Manual,21400,Petrol,34.45,1,7795
2 Series,2019,Manual,6000,Diesel,25.7,2,21402
3 Series,2019,Semi-Auto,8200,Petrol,21.1,2,27472
X2,2019,Semi-Auto,3000,Petrol,19.35,2,26612
X5,2019,Automatic,123,Diesel,18.35,3,48090
X5,2019,Automatic,123,Diesel,18.35,3,48090
X5,2019,Automatic,123,Diesel,18.35,3,48090
 Aygo,2017,Manual,15981,Petrol,34.45,1,7795
 Fabia,2017,Manual,19601,Petrol,30.05,1.2,7795
 Fabia,2017,Manual,18653,Petrol,28.85,1,7795
 Citigo,2017,Automatic,11160,Petrol,32.85,1,7795
i8,2019,Automatic,10,Hybrid,70.6,1.5,74226
 Fabia,2017,Manual,25000,Petrol,32.1,1,7795
4 Series,2018,Manual,24368,Petrol,21.4,2,20462
 Fabia,2017,Manual,22929,Petrol,30.05,1.2,7795
X6,2018,Semi-Auto,11500,Diesel,20.45,3,37900
4 Series,2018,Automatic,12421,Diesel,32.85,2,20397
3 Series,2018,Automatic,9200,Petrol,24.35,2,20940
2 Series,2018,Automatic,9754,Petrol,20.45,1.5,15297
1 Series,2020,Semi-Auto,206,Diesel,24.35,2,32451
4 Series,2020,Semi-Auto,16,Diesel,30.05,2,32748
4 Series,2020,Semi-Auto,16,Diesel,25.7,3,35100
I10,2017,Manual,16609,Petrol,28.85,1.2,7795
3 Series,2018,Semi-Auto,14344,Diesel,32.1,2,22162
4 Series,2019,Semi-Auto,3030,Diesel,29.45,2,28532
2 Series,2019,Manual,123,Petrol,21.4,1.5,20949
5 Series,2019,Automatic,123,Diesel,30.05,3,38260
X2,2019,Automatic,123,Petrol,17,2,34368
X2,2019,Automatic,123,Petrol,17,2,34368
X2,2019,Automatic,123,Petrol,17,2,34368
X1,2019,Manual,123,Diesel,34.45,2,28560
2 Series,2019,Automatic,123,Petrol,23.95,2,25671
I20,2017,Manual,37505,Petrol,29.45,1.2,7795
X6,2018,Semi-Auto,11637,Diesel,22.4,3,40092
X2,2019,Semi-Auto,2367,Petrol,19.6,2,28266
4 Series,2019,Automatic,3000,Petrol,20.75,3,32170
X1,2019,Semi-Auto,7778,Diesel,25.2,2,30850
X3,2019,Automatic,8911,Diesel,18.35,3,42830
I10,2017,Manual,6650,Petrol,30.05,1,7795
 Golf,2014,Manual,55286,Diesel,34.45,1.6,7796
X2,2019,Semi-Auto,3235,Petrol,17,2,33520
X4,2019,Automatic,4002,Diesel,21.4,2,37540
2 Series,2019,Manual,3156,Diesel,30.05,2,23920
4 Series,2019,Semi-Auto,5402,Diesel,30.05,2,28970
 Golf SV,2016,Manual,57950,Diesel,36.2,1.6,7797
4 Series,2019,Semi-Auto,3334,Diesel,32.85,2,26352
X4,2019,Semi-Auto,6170,Diesel,20.45,3,39263
6 Series,2019,Semi-Auto,16935,Diesel,23.95,3,34442
 Fiesta,2014,Manual,15412,Petrol,32.85,1,7798
2 Series,2018,Manual,19571,Petrol,26.15,1.5,17722
2 Series,2020,Semi-Auto,600,Petrol,18.1,2,35440
X2,2019,Semi-Auto,5313,Diesel,24.35,2,28955
X3,2019,Automatic,1405,Petrol,12.4,3,57680
X7,2019,Automatic,10,Diesel,16.8,3,67120
3 Series,2019,Automatic,12608,Diesel,26.15,2,27596
1 Series,2019,Semi-Auto,7072,Petrol,20.2,1.5,24600
3 Series,2019,Automatic,10850,Diesel,21.75,3,39600
2 Series,2019,Semi-Auto,5440,Diesel,30.05,2,25460
5 Series,2019,Automatic,5799,Diesel,26.65,3,36380
3 Series,2019,Semi-Auto,13216,Diesel,30.05,2,26580
2 Series,2019,Semi-Auto,7916,Diesel,25.7,2,19880
 Polo,2014,Manual,32692,Petrol,30.05,1.2,7798
 C-MAX,2015,Manual,35901,Petrol,22.05,1.6,7798
 Focus,2015,Manual,43287,Diesel,37.15,1.5,7798
X4,2019,Automatic,2188,Petrol,13.45,3,42460
5 Series,2019,Semi-Auto,2269,Diesel,25.7,3,38050
4 Series,2019,Semi-Auto,1000,Diesel,28.25,3,27990
X5,2019,Semi-Auto,751,Petrol,13.6,3,49990
 Fiesta,2015,Manual,24860,Petrol,27.15,1.2,7798
4 Series,2020,Semi-Auto,16,Diesel,30.05,2,30137
2 Series,2019,Automatic,123,Diesel,24.8,2,21773
1 Series,2019,Automatic,143,Diesel,35.3,2,20600
2 Series,2019,Automatic,123,Diesel,24.8,2,21773
2 Series,2019,Manual,123,Diesel,25.7,2,20638
2 Series,2019,Manual,123,Diesel,25.7,2,20638
2 Series,2019,Automatic,153,Diesel,24.8,2,22773
I20,2015,Manual,23001,Petrol,27.7,1.2,7798
I30,2015,Manual,36312,Petrol,24.35,1.4,7798
 Fiesta,2016,Manual,56459,Petrol,32.85,1,7798
1 Series,2019,Manual,1357,Diesel,26.65,2,25976
X2,2019,Semi-Auto,6950,Diesel,29.45,2,28150
X4,2019,Automatic,8526,Diesel,20.45,3,37990
2 Series,2019,Semi-Auto,5000,Diesel,24.35,2,21600
5 Series,2019,Automatic,6384,Diesel,31.4,2,26566
2 Series,2019,Manual,7710,Diesel,30.05,2,21460
 Focus,2016,Manual,63664,Diesel,37.15,1.5,7798
X7,2019,Semi-Auto,10,Diesel,15.7,3,76970
2 Series,2020,Semi-Auto,666,Diesel,25.7,2,23380
M4,2020,Semi-Auto,99,Petrol,17,3,48630
4 Series,2018,Automatic,9807,Diesel,32.85,2,21792
3 Series,2019,Semi-Auto,7165,Petrol,20.75,2,28013
X3,2019,Semi-Auto,2973,Petrol,15.2,2,34222
2 Series,2019,Semi-Auto,2500,Petrol,19.6,1.5,21990
4 Series,2019,Semi-Auto,1000,Petrol,24.35,2,24990
IX20,2016,Manual,36242,Petrol,25.2,1.4,7798
 Fiesta,2017,Manual,11085,Petrol,27.15,1.2,7798
4 Series,2019,Manual,123,Petrol,23.15,2,31175
4 Series,2019,Automatic,123,Petrol,24.35,2,31356
 Ka+,2017,Manual,12392,Petrol,28.85,1.2,7798
 Fiesta,2017,Manual,32039,Petrol,27.15,1.2,7798
 Fiesta,2017,Manual,16302,Petrol,27.15,1.2,7798
I20,2017,Manual,14814,Petrol,27.7,1.2,7798
3 Series,2019,Semi-Auto,14153,Diesel,32.1,2,19965
I10,2017,Manual,9859,Petrol,30.05,1,7798
I10,2017,Manual,19812,Petrol,30.05,1,7798
X1,2019,Automatic,3414,Petrol,18.85,2,24790
2 Series,2019,Semi-Auto,1415,Diesel,24.8,2,24240
I10,2017,Manual,30891,Petrol,30.05,1,7798
IX35,2011,Automatic,48528,Diesel,19.6,2,7799
A1,2013,Manual,35138,Petrol,26.65,1.4,7799
1 Series,2019,Manual,5023,Diesel,26.65,2,22990
2 Series,2019,Manual,5328,Petrol,22.05,1.5,18260
1 Series,2019,Automatic,8458,Diesel,25.7,2,24990
X6,2019,Automatic,6222,Diesel,17.45,3,55990
4 Series,2019,Automatic,5984,Petrol,24.35,2,22810
2 Series,2019,Automatic,14380,Diesel,23.55,2,21390
2 Series,2019,Automatic,10649,Diesel,24.8,2,19850
4 Series,2019,Semi-Auto,8598,Diesel,30.05,2,26820
3 Series,2019,Semi-Auto,4050,Diesel,30.05,2,27770
A1,2013,Manual,56123,Diesel,37.15,1.6,7799
 Focus,2014,Manual,28009,Petrol,30.05,1,7799
 Golf,2014,Manual,75000,Diesel,34.45,1.6,7799
 Touran,2014,Manual,81000,Diesel,29.45,2,7799
4 Series,2019,Semi-Auto,5029,Petrol,24.35,2,25910
X1,2019,Semi-Auto,1940,Diesel,32.85,2,27380
X6,2019,Automatic,3000,Petrol,13.2,3,64690
M2,2019,Automatic,1500,Petrol,14.55,3,48200
X6,2019,Semi-Auto,11330,Diesel,16.6,3,68522
3 Series,2019,Semi-Auto,3000,Diesel,31.4,2,25560
5 Series,2019,Automatic,3067,Hybrid,24.8,2,30570
X2,2019,Semi-Auto,3000,Diesel,29.45,2,32690
3 Series,2019,Semi-Auto,11658,Diesel,24.35,2,27998
 Fiesta,2015,Manual,29165,Petrol,32.85,1,7799
 C-MAX,2015,Manual,45343,Diesel,30.7,1.6,7799
 Fiesta,2015,Manual,19110,Petrol,27.15,1.2,7799
 Fiesta,2015,Manual,40909,Petrol,32.85,1,7799
4 Series,2019,Automatic,6004,Diesel,32.85,2,20995
 Fiesta,2015,Manual,24002,Petrol,27.15,1.2,7799
 Golf,2015,Manual,57505,Diesel,44.15,1.6,7799
 Polo,2015,Manual,40000,Petrol,30.05,1,7799
I20,2015,Manual,19900,Petrol,25.7,1.4,7799
2 Series,2018,Manual,6889,Petrol,28.8,1.5,15700
 Polo,2016,Manual,41117,Petrol,30.05,1,7799
 Fabia,2017,Manual,38512,Petrol,30.05,1.2,7799
 Citigo,2017,Automatic,16626,Petrol,32.85,1,7799
3 Series,2018,Semi-Auto,24965,Petrol,24.35,2,19765
I10,2017,Manual,21321,Petrol,28.85,1.2,7799
I20,2017,Manual,20000,Petrol,27.7,1.2,7799
 Golf,2012,Manual,42321,Diesel,31.4,1.6,7800
A1,2014,Manual,55000,Petrol,26.65,1.4,7800
 Fiesta,2014,Semi-Auto,31604,Petrol,23.95,1.6,7800
5 Series,2018,Semi-Auto,25411,Diesel,30.05,3,28000
 Focus,2014,Manual,30500,Diesel,33.65,1.6,7800
X6,2020,Semi-Auto,3158,Petrol,13.2,3,65352
X2,2019,Semi-Auto,3096,Petrol,18.1,2,31084
4 Series,2018,Manual,17672,Petrol,23.15,2,18210
 Focus,2014,Manual,51443,Diesel,37.15,1.5,7800
 Focus,2014,Manual,40857,Diesel,28.85,2,7800
X1,2019,Manual,7113,Petrol,25.7,1.5,19980
 Octavia,2014,Manual,79200,Diesel,28.8,2,7800
 Focus,2015,Manual,40523,Petrol,30.7,1,7800
 Fiesta,2015,Manual,28065,Petrol,32.85,1,7800
 Polo,2015,Manual,40809,Petrol,30.05,1.2,7800
3 Series,2019,Semi-Auto,13957,Diesel,26.15,2,24998
 Fiesta,2016,Manual,14994,Petrol,32.85,1,7800
 Fiesta,2016,Manual,29512,Petrol,32.85,1,7800
 Golf,2016,Manual,76520,Diesel,37.15,1.6,7800
 Up,2016,Manual,24023,Petrol,32.1,1,7800
 Up,2016,Manual,26410,Petrol,30.7,1,7800
 Yaris,2016,Manual,33101,Petrol,29,1.3,7800
 Yaris,2016,Manual,16400,Petrol,29,1.3,7800
 Yaris,2016,Manual,16014,Petrol,29,1.3,7800
 Aygo,2016,Manual,19020,Petrol,34.5,1,7800
 Ka+,2017,Manual,3194,Petrol,28.85,1.2,7800
 Fiesta,2017,Manual,29543,Petrol,27.15,1.2,7800
 Fiesta,2017,Manual,15800,Petrol,27.15,1.2,7800
 Fiesta,2017,Manual,50709,Petrol,32.1,1.1,7800
 Fiesta,2017,Manual,34257,Petrol,32.85,1,7800
 KA,2017,Manual,27458,Petrol,28.85,1.2,7800
5 Series,2018,Automatic,24460,Diesel,30.05,3,27750
X4,2019,Semi-Auto,3414,Diesel,18.6,3,42412
 Up,2017,Manual,16700,Petrol,30.05,1,7800
3 Series,2018,Semi-Auto,7856,Diesel,32.1,2,20732
X3,2018,Automatic,6716,Diesel,28.25,2,29022
 Up,2017,Manual,3732,Petrol,32.1,1,7800
1 Series,2019,Semi-Auto,1129,Diesel,30.05,2,31723
5 Series,2018,Automatic,19625,Diesel,26.65,3,28992
 Aygo,2017,Manual,23000,Petrol,34.45,1,7800
 Aygo,2017,Manual,15512,Petrol,34.45,1,7800
 Aygo,2017,Manual,26912,Petrol,34.5,1,7800
1 Series,2018,Manual,17143,Petrol,19.35,1.5,14012
5 Series,2019,Semi-Auto,7657,Hybrid,24.8,2,27241
 Aygo,2017,Manual,17679,Petrol,34.45,1,7800
 Aygo,2017,Manual,17283,Petrol,34.45,1,7800
3 Series,2019,Semi-Auto,11944,Petrol,22.4,2,22780
8 Series,2019,Semi-Auto,88,Petrol,12.2,4.4,88980
4 Series,2019,Automatic,10164,Diesel,32.85,2,22446
4 Series,2019,Automatic,4349,Diesel,30.05,2,24016
